gene,one,two
pepN,1,1
ybhQ,1,1
gmr_2,1,1
fur,1,1
dcuD,1,1
yhjJ,1,1
fnr,1,1
cbiM,1,1
eptA,1,1
rimM,1,1
stp,1,1
sufB,1,1
invG_1,1,1
erfK,1,1
sdaA_2,1,1
folE,1,1
tpx_1,1,1
group_11147,1,1
fucP_2,1,1
group_11149,1,1
ygdK,1,1
pyrE,1,1
rplI,1,1
rplJ,1,1
trmA,1,1
ftsB,1,1
yidC,1,1
group_11156,1,1
rbn,1,1
pepQ,1,1
kdsB,1,1
ygdG,1,1
minD_1,1,1
group_11161,1,1
pldA,1,1
yusV_2,1,1
gltX,1,1
rimN,1,1
yecN,1,1
fucU,1,1
pbpG,1,1
group_11169,1,1
yqcC,1,1
argC,1,1
flgI,1,1
ftsX,1,1
artJ_2,1,1
lpdA,1,1
dus_1,1,1
cyoB,1,1
group_11177,1,1
surA,1,1
allA,1,1
gudX,1,1
sohB,1,1
hutI,1,1
cdaR_1,1,1
hisD,1,1
deoA,1,1
fliI,1,1
pstB,1,1
ndh,1,1
lytM,1,1
ugd,1,1
fimA_2,1,1
yecS_4,1,1
lsrK,1,1
fepD,1,1
yjcH,1,1
osmC,1,1
nhaA,1,1
ycdX,1,1
yhgF,1,1
ynhG,1,1
truA,1,1
rcsC_2,1,1
yadH,1,1
nudC,1,1
yehW_3,1,1
group_11204,1,1
actP_2,1,1
thiD,1,1
cysC,1,1
secY,1,1
trpA,1,1
cysJ,1,1
fixL,1,1
cheZ,1,1
secA_1,1,1
modB_1,1,1
hflD,1,1
sufS,1,1
yaiI,1,1
ybiR,1,1
azoR,1,1
rsmH,1,1
cysI,1,1
group_11220,1,1
yciB,1,1
gshA,1,1
group_11223,1,1
fliD,1,1
uhpT,1,1
rseP,1,1
pflA_3,1,1
yjjB,1,1
speC_2,1,1
cysH,1,1
gntR_2,1,1
nfuA,1,1
ycgE_3,1,1
ribE,1,1
rfaQ,1,1
group_11235,1,1
zraP,1,1
aspS,1,1
yibH,1,1
tas,1,1
sdhB,1,1
group_11241,1,1
dsdA,1,1
glnH,1,1
cdaR_2,1,1
yjjK,1,1
hslV,1,1
topA_1,1,1
cof_1,1,1
pntB,1,1
fbp,1,1
artQ,1,1
ywqF,1,1
metL,1,1
dld,1,1
gsiA_2,1,1
